x,y,z,reward
-0.23399999999999993,0.8169999999999997,0.06300000000000001,-0.9111607981031667
-0.23030831899936552,0.817990422784586,0.06135205124011066,-1.8204903163382546
-0.22236525097479404,0.820908802509671,0.061345678539085305,-2.7244878987909975
-0.21149294721070747,0.8242115538439014,0.06394112229540179,-3.619743555238612
-0.199846076215776,0.8285584442306803,0.06833097585375172,-4.505222706928406
-0.1884870843938688,0.8332590027464177,0.07241797124952913,-5.38152312322357
-0.17611952939514136,0.8371807080643462,0.07686134330574845,-6.247476222824984
-0.16341959476247497,0.8420493571114125,0.08242348043823879,-7.102750138658065
-0.1526877497257797,0.8449582965920267,0.08860868960854339,-7.94787754638744
-0.14576787668275595,0.8468458645160437,0.09355260181079379,-8.78604083106532
-0.13780814358280286,0.8491822659894689,0.09868850239930195,-9.616569819727724
-0.12690749443386629,0.8518742381763632,0.10391830596362722,-10.437367720809512
-0.11386604152746929,0.8545286214426008,0.10955016095170439,-11.246671827542842
-0.09945853841874709,0.8575763499207192,0.11460111662660871,-12.044007192750746
-0.08719446491894753,0.859926670263989,0.11970852823644214,-12.830751211536313
-0.07757226292624747,0.8621180678462783,0.12566272531201658,-13.60847070414486
-0.06795943086587776,0.8636426203093236,0.13054788101955841,-14.377436723312197
-0.0594999039987837,0.8644593650001269,0.1355692189031962,-15.13814728950789
-0.049621589651455744,0.8653189255487912,0.14073031619838094,-15.889556974615841
-0.038368028837497174,0.865703656378105,0.14590576410323589,-16.630476691358485
-0.027393406443477986,0.8659533200871582,0.15147806339045558,-17.360910246133276
-0.01793859466667712,0.8662175365826453,0.15765307328987513,-18.08172720637618
-0.00726887466324537,0.8667732033181098,0.16449878678244595,-18.791942214627056
0.0055020797282016864,0.8673825619853058,0.1696879079616847,-19.490944516590897
0.015242634047851672,0.8668232208870609,0.1743405803005112,-20.18058430435392
0.025311422794160113,0.8666682834963308,0.17816127352507577,-20.86128617838605
0.03638621726472159,0.8663152976715753,0.18235983473612732,-21.532121412582338
0.048893069830037314,0.8655688331925571,0.18759628044612758,-22.191465115244487
0.06200345768603935,0.8645520202194408,0.19350536597231627,-22.838518518923678
0.07390348585532452,0.8637389351760361,0.1996628014019118,-23.474180917678698
0.08658108316069409,0.8625347374632302,0.20508984132957234,-24.098134953129335
0.10078849922719814,0.8608131996583588,0.21054606834875583,-24.709150146021738
0.11586771933856653,0.8591344561498832,0.21688174791995732,-25.306386373406752
0.131510335988492,0.8564313162074572,0.2233193767204016,-25.88894974588659
0.14645996474383427,0.8539319815174211,0.2297464237248769,-26.45754045945767
0.15884823407595056,0.8515128960890596,0.23502155887440143,-27.014460038725062
0.1699177046956011,0.8483396016448496,0.24025313607136195,-27.560136896460733
0.18026360704296585,0.8452706323816841,0.24627941420683347,-28.094755738460947
0.19150653321717226,0.8413180394165783,0.2526027164429416,-28.617126908215056
0.2044339602227983,0.8372172559578787,0.25974906513854645,-29.125846156216486
0.21525800658379474,0.8331988115160583,0.26519766656585797,-29.623070035969324
0.2255458996722678,0.829351137128312,0.27076269474901987,-30.109225326831357
0.2373574426852914,0.824858958327361,0.2771083474277185,-30.582717823609027
0.24830495432342387,0.8199515636599187,0.283752012856582,-31.043676163429602
0.2598609601703214,0.8148318025386537,0.2910090494908894,-31.491407153796317
0.2727149961001038,0.8090186486535916,0.29858313254842067,-31.924673529952457
0.2864245789598815,0.8024648559371814,0.30619662330479036,-32.342596008850194
0.30046657305076313,0.7951678917081684,0.3148296532829548,-32.74412524821996
0.31284593606115263,0.7882323861200247,0.32239160127417926,-33.13097056014091
0.3248462708575809,0.7813856959077855,0.3298746042559363,-33.503528460300174
0.33761546307660584,0.7736723951769351,0.3373877524629237,-33.86089110630947
0.35008264285619556,0.7646127345559269,0.34404631556135906,-34.20267563631651
0.3614153246137295,0.7563412536923134,0.35031233777286436,-34.53027744769656
0.3726505914033992,0.7481905555824186,0.3562540310278615,-34.84409160822147
0.3846296621084007,0.7391817893237793,0.3622850191855773,-35.143229802289135
0.3965971378243047,0.7291166711184647,0.37052666519947786,-35.425984015900355
0.40792110049573427,0.7186923978647213,0.38142864265360976,-35.69124625482762
0.42013153568128014,0.708743796313265,0.3887675226813085,-35.940897227392036
0.432790863224778,0.6986501024963373,0.39372749227525167,-36.17599885900267
0.4451742579128511,0.6879816083665463,0.3990840111347285,-36.39628726970132
0.455639441552876,0.6785390357886355,0.40481526945778185,-36.60342051033273
0.46581914496470084,0.6688090620867221,0.410325530747905,-36.79760171624409
0.47467606066394835,0.6590725560476003,0.4161637447820567,-36.979188879006166
0.48276971798012114,0.64807200159919,0.4260401077059355,-37.14559881243631
0.49010282562608004,0.6354630010938489,0.43989151873620147,-37.29412897181743
0.49740188216349934,0.6225377447117437,0.4524689729638613,-37.42558789173709
0.5028706249745091,0.6104033599780447,0.46412285604648973,-37.54170986140884
0.5074021220337771,0.5979375435413884,0.4770763163717469,-37.64256643837144
0.5110136326022788,0.586684865619002,0.4890444713370298,-37.73063226397234
0.5128933961895931,0.5751959559290654,0.5027087303223761,-37.80697365951465
0.5119454217283079,0.5640304474948844,0.518403982592749,-37.87465894507906
0.5054997986502257,0.5560182877209505,0.5355260895183186,-37.941220190416296
0.49515888963629096,0.5497571353676893,0.5537409108740158,-38.014618380932966
0.4814356282153724,0.5451459070529506,0.5723313337439699,-38.101880117476384
0.4655516696791382,0.5420053535339322,0.5896243944217507,-38.20668311964174
0.44899365288429965,0.5387559496956069,0.6055999774844282,-38.33019435932302
0.43192286682981396,0.5362216747294383,0.6203512155527622,-38.473131131589305
0.41370162586419296,0.533418952123381,0.6355823563947249,-38.63728597040027
0.3968752683762305,0.5317271874545866,0.6470472575746518,-38.81967078516422
0.3804488894559742,0.528879279182645,0.658685773735651,-39.020438450848964
0.36730287680380563,0.5215159399451765,0.6714689118973564,-39.23832156153801
0.36000850231902176,0.5124618751117376,0.6823949586149924,-39.46858410448068
0.3545912127216953,0.500768586040036,0.6935078142948539,-39.71063695064329
0.34897736384841904,0.48882718663115937,0.703694251446947,-39.96445581609911
0.34258441285805386,0.4785630445373164,0.7121139267337244,-40.22946813288675
0.33627446868833594,0.4680010060852813,0.7194727809228206,-40.50514600066151
0.32902955444033594,0.45905340332861055,0.7247732163018399,-40.79050632691678
0.3187555442379818,0.45221208230044396,0.7297562520701677,-41.087021374069295
0.3072278963818354,0.44638937213464763,0.7350340615269445,-41.3956897939495
0.3017397449611626,0.441340714472075,0.7358658693788318,-41.709346850054644
0.2989213302514796,0.4355469937720303,0.7357723918462924,-42.02585189297905
0.2964972920060149,0.4288985419451749,0.7362434338650548,-42.34566391517765
0.2916913889566015,0.4220381490217113,0.7374726217075099,-42.671031051968434
0.2858454396546939,0.4148124162120667,0.7398789743804712,-43.003688567287334
0.2826115913946372,0.4080099890933744,0.7419180242301887,-43.34168888200614
0.27838599615724535,0.40221247675104427,0.7428110079470827,-43.684664612900704
0.27634235268354757,0.39784345812452737,0.7409256122954588,-44.028908498701206
0.2727572161258385,0.3937164997764711,0.7399516760049273,-44.37605727381098
0.2706541395693617,0.39010257669489723,0.737661603497925,-44.72413773164074
0.2688302771829731,0.386742447817716,0.7344775640701047,-45.07234232943616
0.267125469582427,0.38139524714966555,0.7324952334496221,-45.42213036223987
0.2697341132188682,0.37622313754633785,0.7284994392637469,-45.76934079416527
0.27445733041169473,0.3727186791273237,0.7241543719188496,-46.11185387843862
0.2772956856493887,0.3722758177371559,0.7195213555520542,-46.4496412433718
0.28052226415695314,0.37153754759309293,0.715357643248905,-46.78288588731212
0.28670464830182363,0.3699041419089977,0.7105248628809395,-47.1095976214747
0.2924926014362618,0.3688183181170559,0.7059831647938578,-47.43006137652169
0.2980151342631988,0.3662338167901813,0.702550704204321,-47.74584305035807
