episode,total_reward
85.0,-911.5578698612259
86.0,-890.6338953435898
87.0,-790.1370467918356
88.0,-778.0812850969021
89.0,-770.847352303209
90.0,-775.0174277484758
91.0,-766.8331203822619
92.0,-773.2263429063411
93.0,-766.3939215850444
94.0,-772.1292420938879
95.0,-771.8764575095618
96.0,-771.4418845371629
97.0,-772.3145121505696
98.0,-770.7892345625763
99.0,-773.2634702918576
100.0,-773.3584299067236
101.0,-773.9563983628784
102.0,-774.7778154361125
103.0,-773.2823792003275
104.0,-774.7222751297408
105.0,-777.912425020909
106.0,-773.577640627917
107.0,-768.4192737132124
108.0,-779.6087729680698
109.0,-774.5753153521227
110.0,-775.2562593536139
111.0,-774.3269527410642
112.0,-770.2181073902235
113.0,-773.7858964689462
114.0,-774.7252117498838
115.0,-774.9027399270666
116.0,-770.0669991564309
117.0,-779.0978880913921
118.0,-771.7957701181062
119.0,-773.2948873679109
120.0,-777.7152508748003
121.0,-772.0090528924101
122.0,-776.4357695667145
123.0,-773.9530695318814
124.0,-771.142326963959
125.0,-773.4143435626723
126.0,-718.8190304761223
127.0,-212.69061118741172
128.0,-224.0021398421982
129.0,-322.5130160416241
130.0,-545.5446089528448
131.0,-789.7837663532199
132.0,-742.9605270100603
133.0,-608.7778557124384
134.0,-207.00772868607797
135.0,-281.4589963323075
136.0,-509.6916365381209
137.0,-435.81219899769235
138.0,-618.6905691291885
139.0,-505.9294239012439
140.0,-548.1391188949367
141.0,-666.7927396188393
142.0,-548.5498495498083
143.0,-723.1974808974976
144.0,-930.704169416224
145.0,-731.5444782713213
146.0,-896.3066060446083
147.0,-777.3605791305287
148.0,-775.8332013716448
149.0,-783.9003616315705
150.0,-765.7347625186264
151.0,-774.0864974421025
152.0,-773.6382166236549
153.0,-776.5075290231854
154.0,-773.228922771531
155.0,-786.4593343488708
156.0,-778.5024016448835
157.0,-779.0546355995
158.0,-771.5907984020522
159.0,-771.4875143774907
160.0,-773.2041026011162
161.0,-782.4320632282784
162.0,-769.9492044978862
163.0,-779.167032962139
164.0,-776.109753933081
165.0,-786.7679100268092
166.0,-783.4280924720701
167.0,-789.1647939391137
168.0,-913.4009153786485
169.0,-775.1164751323133
170.0,-784.4516350221055
171.0,-906.9489544375921
172.0,-781.6284888073558
173.0,-784.0816085872835
174.0,-774.1279206617904
175.0,-879.4816218736573
176.0,-793.9677205530293
177.0,-770.5801084345187
178.0,-778.9662826332769
179.0,-842.9664146998438
180.0,-776.9631693073924
181.0,-767.732450274317
182.0,-765.5404973523146
183.0,-770.9608123176718
184.0,-787.9129807966515
185.0,-792.5917245583505
186.0,-800.9817940495445
187.0,-806.0548627450015
188.0,-795.4191818493326
189.0,-792.5405101877842
190.0,-797.7374820852426
191.0,-784.3774088886694
192.0,-792.7580077372947
193.0,-789.779356316281
194.0,-788.5235341572782
195.0,-783.7160895895365
196.0,-794.2005538569568
197.0,-791.7381429857567
198.0,-778.7075673693445
199.0,-787.4378226540775
200.0,-798.0744575582843
201.0,-789.290374411863
202.0,-785.441862085839
203.0,-782.4768424358762
204.0,-782.0267868454821
205.0,-781.9880495002647
206.0,-781.1342341647959
207.0,-784.285299221353
208.0,-779.0210021678632
209.0,-777.6015554312029
210.0,-784.1329147998206
211.0,-781.2379552328464
212.0,-783.6581607401705
213.0,-774.3271521714785
214.0,-771.9380752344359
215.0,-764.7241714262474
216.0,-741.4374439273856
217.0,-748.9226506942343
218.0,-744.9622346912768
219.0,-706.0696826657227
220.0,-709.2376536001955
221.0,-730.1954171192341
222.0,-707.399777316107
223.0,-718.4612804822261
224.0,-714.3828267171882
225.0,-722.1197548855303
226.0,-718.5437103870416
227.0,-721.3593358413833
228.0,-723.468443116219
229.0,-736.1532427115294
230.0,-743.8769969772046
231.0,-747.8339422577052
232.0,-730.7161755284673
233.0,-731.6482600908582
234.0,-729.6166867684253
235.0,-724.1423238189855
236.0,-726.7271802739539
237.0,-721.4113741810165
238.0,-725.537748222035
239.0,-719.3938663320064
240.0,-717.7500914478246
241.0,-720.4398560497863
242.0,-716.2678186160757
243.0,-714.3387199919952
244.0,-711.393344922407
245.0,-711.129235137611
246.0,-701.5957109768076
247.0,-700.375917215331
248.0,-724.6131810220177
249.0,-721.4461018259177
250.0,-718.393346329745
251.0,-719.5739836274305
252.0,-711.6242986066537
253.0,-716.965333792609
254.0,-725.0560576479364
255.0,-723.0434521387873
256.0,-724.6358939463901
257.0,-730.6846693666771
258.0,-726.3028564821955
259.0,-727.1534514175826
260.0,-710.9721475753386
261.0,-714.3604849214338
262.0,-706.7160906139404
263.0,-721.0968778707999
264.0,-710.1243864214168
265.0,-717.302097356989
266.0,-708.7117883387288
267.0,-725.5052216084879
268.0,-708.9063547829259
269.0,-713.0632880553858
270.0,-704.1032618060595
271.0,-710.5301481184958
272.0,-700.7209547876134
273.0,-703.3492297692541
274.0,-701.7417243602536
275.0,-696.5146153918694
276.0,-698.9327132340616
277.0,-697.947426959114
278.0,-699.8508146105512
279.0,-679.5666427829948
280.0,-695.9801352174925
281.0,-688.455518605804
282.0,-691.4256170998866
283.0,-694.8085839469649
284.0,-682.8533809072928
285.0,-683.448895958875
286.0,-675.2678752978813
287.0,-671.4867457688377
288.0,-675.4225235803847
289.0,-679.6468178473548
290.0,-670.9170396426016
291.0,-670.8235358938538
292.0,-660.7040347516362
293.0,-669.246032467409
294.0,-680.1188378105164
295.0,-674.6314248388996
296.0,-668.8410671822293
297.0,-665.7760252126466
298.0,-671.378920261938
299.0,-661.961626100978
300.0,-679.9387335646944
301.0,-685.1542096797192
302.0,-681.9329929026018
303.0,-677.7082888669573
304.0,-692.4337301628957
305.0,-677.4194897468358
306.0,-591.4963337471967
307.0,-511.0979570503879
308.0,-535.6793445330958
309.0,-513.6431262934437
310.0,-476.14694855627005
311.0,-484.295497172699
312.0,-439.83669068531003
313.0,-427.4961187974269
314.0,-452.89712622817234
315.0,-466.09600721363614
316.0,-444.50421036537506
317.0,-397.03755327530644
318.0,-374.73202601960014
319.0,-375.0017842630688
320.0,-405.32983833019756
321.0,-448.43807094335347
322.0,-408.80124674864726
323.0,-392.74585401618396
324.0,-341.7870279631688
325.0,-409.3125292375667
326.0,-403.7016189086577
327.0,-370.66886597934626
328.0,-333.87987515540004
329.0,-334.09783180326195
330.0,-331.2094840817098
331.0,-320.34669752681395
332.0,-318.98143121243777
333.0,-296.9296582070987
334.0,-311.2382108921683
335.0,-298.28108977962205
336.0,-318.0453466379824
337.0,-312.27725243808834
338.0,-309.1121930879539
339.0,-300.9517777460921
340.0,-301.5240322505663
341.0,-279.73522180058615
342.0,-284.3374565293524
343.0,-302.780894453023
344.0,-295.1306840986707
345.0,-309.0493652614392
346.0,-276.91567609494206
347.0,-278.94370473078465
348.0,-292.22346365921703
349.0,-283.3635592565265
350.0,-287.00545100258216
351.0,-288.5139093491435
352.0,-288.5934400454654
353.0,-456.6557821287525
354.0,-351.22413140234926
355.0,-338.1965891851062
356.0,-264.73982177018127
357.0,-260.7980415376248
358.0,-327.83294579194023
359.0,-327.64327491764874
360.0,-321.5395625986666
361.0,-358.4066544120674
362.0,-410.1512181913657
363.0,-362.9773263092191
364.0,-320.75039669543736
365.0,-320.164807380191
366.0,-363.49265240322103
367.0,-321.3871907458944
368.0,-343.74874257070815
369.0,-362.72251473972096
370.0,-344.86979493198356
371.0,-350.05882862036214
372.0,-399.5868615535416
373.0,-376.0301567072479
374.0,-413.9541265230779
375.0,-397.01530061094843
376.0,-381.80031399828897
377.0,-368.0386956307182
378.0,-249.84995555506993
379.0,-289.30152934515286
380.0,-392.4455681809284
381.0,-419.1307236929347
382.0,-436.83097103809246
383.0,-396.02163730490116
384.0,-421.4777993673227
385.0,-453.8431257647597
386.0,-446.47955776236824
387.0,-451.33720708625407
388.0,-468.99846493966595
389.0,-381.74616998240225
390.0,-484.70060539957217
391.0,-477.4998802419339
392.0,-431.550941498754
393.0,-477.0673928014356
394.0,-670.3570710834026
395.0,-601.6251481033801
396.0,-545.8442726936293
397.0,-524.9582450374717
398.0,-500.6926868476811
399.0,-510.8131430994349
400.0,-524.6751997138537
401.0,-504.0699013680777
402.0,-499.27851446249207
403.0,-484.83631640837416
404.0,-490.5217246747421
405.0,-535.0426759585894
406.0,-490.0391415721731
407.0,-541.0817112511081
408.0,-399.28678379117423
409.0,-491.6464970302417
410.0,-517.9768893060926
411.0,-528.4348121679338
412.0,-486.55922821677143
413.0,-534.8287128724171
414.0,-514.8766788175799
415.0,-570.1639222320989
416.0,-548.3750463624605
417.0,-513.0004634430547
418.0,-455.6015463586125
419.0,-522.464842061261
420.0,-558.361287703222
421.0,-509.03169546291053
422.0,-454.6986646526305
423.0,-398.2341159992089
424.0,-391.3587057351399
425.0,-406.7036131773609
426.0,-441.8149956972194
427.0,-541.6357256936343
428.0,-379.39354330523264
429.0,-439.620131711118
430.0,-479.50600500259355
431.0,-507.94341227396956
432.0,-555.9074099221542
433.0,-509.2669464008868
434.0,-513.5539434137427
435.0,-511.7254755905973
436.0,-546.1252907350147
437.0,-555.5491789814424
438.0,-709.8366689239376
439.0,-570.8900476239543
440.0,-600.5477254633893
441.0,-557.8269064826866
442.0,-567.8237142756047
443.0,-569.9566741110527
444.0,-557.3735205828748
445.0,-580.6195610391911
446.0,-484.1354378344097
447.0,-535.3928880509426
448.0,-492.118780966224
449.0,-521.3986169451541
450.0,-487.0418353667081
451.0,-458.0151858389654
452.0,-544.0309204336363
453.0,-509.4663249106518
454.0,-443.1087934897542
455.0,-487.3610669129389
456.0,-548.9076723744604
457.0,-458.5657731206362
458.0,-537.3210478531898
459.0,-510.1412158868941
460.0,-381.68117364168774
461.0,-317.7154296355583
462.0,-379.3640550783101
463.0,-407.1273894010602
464.0,-390.69344411724603
465.0,-577.660477524745
466.0,-455.70014458516624
467.0,-370.63728635750033
468.0,-531.9458961631467
469.0,-598.6565641554151
470.0,-551.3329311362705
471.0,-524.9243292724572
472.0,-523.2067596654316
473.0,-579.477976890494
474.0,-510.1965204037238
475.0,-390.4628332927253
476.0,-387.27715899726957
477.0,-375.49061970638115
478.0,-345.2870519779237
479.0,-300.2212547297876
480.0,-370.19795802036396
481.0,-340.6395229508795
482.0,-333.0445621836272
483.0,-318.7468060637042
484.0,-347.4268649490859
485.0,-314.1951635153213
486.0,-277.4249527412123
487.0,-264.61813843171007
488.0,-306.7034854839476
489.0,-254.48922332634913
490.0,-261.28276011652144
491.0,-262.17389020877425
492.0,-278.2433800701974
493.0,-273.55291522522
494.0,-267.5642549806603
495.0,-246.4023892679973
496.0,-292.81817795729364
497.0,-267.1711980138869
498.0,-278.8950025855819
499.0,-266.26957135235637
500.0,-260.2037804966335
501.0,-250.45466955476192
502.0,-237.16250220135205
503.0,-237.72054117509413
504.0,-241.3237203077055
505.0,-241.69432492405647
506.0,-234.3327068624531
507.0,-232.94112069904227
508.0,-241.771123884118
509.0,-204.44137916450313
510.0,-241.0739903235863
511.0,-231.0547022629498
512.0,-211.18157059772125
513.0,-215.46450299037312
514.0,-246.45496206737494
515.0,-240.0081805659876
516.0,-267.6420517658162
517.0,-281.2373556824039
518.0,-303.22495500659954
519.0,-266.8734675916411
520.0,-590.3239331649692
521.0,-557.1144281860935
522.0,-405.42149730391833
523.0,-338.83679688925616
524.0,-572.5660235069338
525.0,-449.73508463484984
526.0,-341.0527115403723
527.0,-300.0428369423438
