time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-0.00015302553833009138,6.387430583953259e-05,-1.0404263687043211e-05,-3.31988366899508e-05,9.253136031994255e-07,3.064805211223527e-08,-0.9111607981031667
1.0,-0.005612445175300204,0.004334548081775274,-0.0021451981561485915,0.0013357158133877097,-0.0049025954937457275,-0.011110005502975865,-1.8202147494513872
2.0,-0.015300619408740689,0.008486613430589311,-0.0069953738472962055,-0.009217871789763847,-0.017942807721761756,-0.026282070290297565,-2.7245369781606628
3.0,-0.028318423304932727,0.011317539705564499,-0.016474801977706437,-0.024684718818053106,-0.027980822106410702,-0.037109717346275724,-3.6212191001886405
4.0,-0.043494729127845314,0.01296570916010923,-0.029162816492577587,-0.04217690570528943,-0.04312098310193751,-0.050960698782816616,-4.507870525457829
5.0,-0.06009066251860896,0.013264408629936067,-0.03683754986759585,-0.05026336329755188,-0.06046560027033865,-0.06774339470847619,-5.38345061485063
6.0,-0.07242723003764844,0.013786877945225415,-0.043671153235557994,-0.062130333447696806,-0.07872216703323932,-0.0791338513311209,-6.250495174860808
7.0,-0.0845045077550915,0.01454530086800143,-0.054333501185340395,-0.07668969007084193,-0.09736212185889204,-0.09482900269269819,-7.1089359731419055
8.0,-0.09875006531622084,0.014939170788590146,-0.0677630980968145,-0.08902063412757676,-0.1161548201703775,-0.11090379472057832,-7.9567909776643555
9.0,-0.11471928372978499,0.014878675042175939,-0.08036509430351224,-0.10375488984123378,-0.13501009941576667,-0.12861025359911105,-8.79296745159333
10.0,-0.13179509128481065,0.01506600511355745,-0.09496122097557967,-0.12090165642533067,-0.15389230946005186,-0.14036111172648585,-9.616575900853894
11.0,-0.14957041098092075,0.015081907185534427,-0.11037170104375037,-0.136339963852332,-0.17278501927576126,-0.15186090996758927,-10.426846948825734
12.0,-0.16612590333513622,0.015038746545085366,-0.12602543315060769,-0.15178821540077062,-0.19168215428373808,-0.16762476221998968,-11.224268891330066
13.0,-0.1804119514527364,0.015047006868606258,-0.14233870392943618,-0.16799303124224746,-0.21051106131398922,-0.18522625282786967,-12.010020275592511
14.0,-0.1952976957622738,0.015071328788107541,-0.1594706722236038,-0.18418944489870143,-0.2293825989436222,-0.2028546123946563,-12.783662309228088
15.0,-0.21159585976280898,0.01507010147757832,-0.17717376148912056,-0.2019404464590205,-0.2482331802533313,-0.21219672318464736,-13.544187994380923
