time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,0.0004399198348278739,6.206283342466442e-05,-1.0511893702574344e-05,6.1618343702082515e-06,-2.825635824608843e-06,3.572517103140199e-05,-0.9111607981031667
1.0,-0.00220263181369383,0.004393146936901182,-0.002546526572884845,-0.011072220805927641,-0.011121319557989222,-0.006272294132971927,-1.8223493680648057
2.0,-0.012414501569562295,0.008346810596766821,-0.005721762955714223,-0.02676707477515228,-0.026801115283623812,-0.011270218785930448,-2.728779190683979
3.0,-0.026045921533514458,0.011262616629869457,-0.013995670517894994,-0.044345002655170926,-0.0442792329890178,-0.019990530197800067,-3.6272570465724145
4.0,-0.041692652610299565,0.012967393320148317,-0.02587670181443793,-0.060543008608622204,-0.06258959440343054,-0.022032383543294953,-4.515430661786848
5.0,-0.05857311149128549,0.013920377532175142,-0.04014616783441397,-0.07828882737733497,-0.08124609201281298,-0.03400396617981882,-5.391846565586636
6.0,-0.07103936805565593,0.014224966157255266,-0.05365217243788349,-0.09672904345128303,-0.10004206167944166,-0.05004101787066714,-6.258629139884083
7.0,-0.07777006800462571,0.014529494270092267,-0.06787697646826464,-0.11542248705207016,-0.11890140896341289,-0.0677575337611816,-7.1189875324094185
8.0,-0.08629923696106426,0.0142572936844823,-0.07737934557585438,-0.12660491317476028,-0.13330247181386112,-0.08567819070484463,-7.972594653481227
9.0,-0.09718062399930659,0.014741293756267919,-0.08972979066945247,-0.14000403373404355,-0.15026842207715668,-0.09633508199289828,-8.817803984615837
10.0,-0.11050133911495538,0.01502232814526667,-0.1042605779434535,-0.15498002453833465,-0.16438132503767458,-0.11175010771846568,-9.652840122799214
11.0,-0.12588525977536721,0.014728186807277012,-0.11556131912854377,-0.17224609706444202,-0.17953889169298737,-0.12408510447800658,-10.476719339244795
12.0,-0.1426123006300885,0.01497108844696578,-0.12920943011548328,-0.18163079909850793,-0.19686468929654954,-0.1401835359707854,-11.288131638540316
13.0,-0.16014998265728622,0.015132642906536115,-0.14458723548724978,-0.195993802947666,-0.2138214657691522,-0.15792298512756636,-12.086301566445092
14.0,-0.1782085634060366,0.01517621340148255,-0.16114327944936593,-0.21301279163129785,-0.23189641561717664,-0.17007123213323586,-12.870602457449792
15.0,-0.1965937397956183,0.015045833168003538,-0.1773220007062746,-0.2284419248818973,-0.24925370521616183,-0.1860729518813322,-13.640717679007448
16.0,-0.21517080957163592,0.014961074302399792,-0.19300348113849053,-0.2458520907952999,-0.263577680648046,-0.19463273871518583,-14.396687441638019
17.0,-0.23278599323861826,0.015036147729737506,-0.209683277946267,-0.2641283590965192,-0.27794417059134974,-0.20921150141996755,-15.138867128787634
