time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,0.00022658973466412274,5.824482864356025e-05,-1.2580136667678522e-05,-9.574085850215877e-07,-1.1394809152772184e-06,-5.0275801871802704e-08,-0.9111607981031667
1.0,-0.00174873210250538,0.004285542085891428,-0.0016424824505612676,-0.01109443599802139,-0.011116019220679068,-0.010607668089432894,-1.822633928750412
2.0,-0.009989885082110335,0.008606313286910664,-0.007840164131502162,-0.02676597138566422,-0.021767218917788305,-0.019616319937754385,-2.7303618978202024
3.0,-0.022263173891526766,0.011364271205589194,-0.018290811878214932,-0.04282235868561562,-0.03717143258199996,-0.0343348278589952,-3.6305561697243918
4.0,-0.03704698090252329,0.01288445332084887,-0.030630851840814825,-0.060528456847002816,-0.04892091573091677,-0.040849474812121415,-4.521058799568717
5.0,-0.05317196521237732,0.013446419883249556,-0.040516929564347104,-0.07894562193930403,-0.06433993234380544,-0.05145145152336398,-5.40089620813447
6.0,-0.07006530194811121,0.014221707952655567,-0.05323119276487244,-0.09430171555317762,-0.08179550229326026,-0.06686662720493075,-6.269038673356714
7.0,-0.08232326977578966,0.014611017707758755,-0.06734886059609471,-0.11168816614018477,-0.09229890000680556,-0.08425862778269422,-7.127771599186138
8.0,-0.09476219392876083,0.014582824825777172,-0.08011378586598315,-0.11589832902692047,-0.10252982787756193,-0.10253417601989902,-7.976896085000954
9.0,-0.10893657350695361,0.014675309625229394,-0.09284153979482247,-0.11202514241276007,-0.11776103746027441,-0.11743484156806928,-8.81498834025891
10.0,-0.12293042911489306,0.014749630358246406,-0.10533408820572926,-0.11173202217640649,-0.13514554377638907,-0.13461749988217034,-9.642093064855537
11.0,-0.13798398724958277,0.014961941154028626,-0.11924099512324383,-0.12268869326025073,-0.15342171949205638,-0.15280583536779008,-10.457720792874694
12.0,-0.154428412177007,0.01490512850460192,-0.13242264099300097,-0.13832268816289936,-0.16646712413555106,-0.17141172751011233,-11.261273391553674
13.0,-0.16912457791247631,0.015067274546256998,-0.1474186498265153,-0.15587381089834237,-0.18285166234047162,-0.19019016664256225,-12.053331475797505
14.0,-0.18070591131830524,0.015131698495263976,-0.16371884546108123,-0.17421089688430033,-0.20071274796277067,-0.20798048613433648,-12.835362888679578
15.0,-0.19338093772307588,0.015131854367089106,-0.18086849472007077,-0.19285692088035727,-0.21918633364503046,-0.21858720248670963,-13.606640061781944
16.0,-0.20444632408017033,0.01476556385231471,-0.19490177815346701,-0.20823756947668204,-0.23790848256890942,-0.23398178201555228,-14.368197567257841
17.0,-0.2167609840805723,0.014910029665214193,-0.21006738919990434,-0.22558448750352583,-0.2567389941256939,-0.25143053176420943,-15.119497896997903
18.0,-0.23108310873004984,0.014803430201634467,-0.22416771168512403,-0.237408034648688,-0.26994964593560705,-0.2697305616274479,-15.859360382839917
19.0,-0.241166162586359,0.01496445468298173,-0.23975930031755832,-0.2482876859021677,-0.2864026613384897,-0.2783152198501247,-16.589781282472156
20.0,-0.2519809357268014,0.015018264404201469,-0.25615917907519065,-0.26022701513260654,-0.3018768587558121,-0.287718520575446,-17.310426564015216
21.0,-0.2656246679582103,0.015022191383097646,-0.2733694900841819,-0.2669308778251021,-0.3153755119387034,-0.30089084170952857,-18.019290972031666
22.0,-0.27711012439318244,0.014892590264369553,-0.28968285206606015,-0.2748267008992239,-0.33197616425780846,-0.31739135259257306,-18.717476452082977
23.0,-0.28956784400440244,0.014970936061535812,-0.30676670298189335,-0.2890544663395548,-0.34920319514336884,-0.3352986174723621,-19.404608334161942
24.0,-0.3043002492121895,0.014756074226883147,-0.32190933159342006,-0.30244525096514185,-0.3575866986082567,-0.35228316013647903,-20.079675495463732
25.0,-0.318014632418279,0.014589158777908675,-0.33498718771901465,-0.31225124035985735,-0.37009459500874153,-0.3685153802417728,-20.743393799571805
26.0,-0.3325598327996042,0.0148147828073271,-0.3498645818685749,-0.3177488953331756,-0.3748622547007068,-0.38628018385210167,-21.395306406292082
27.0,-0.34863889227079786,0.01497605861059009,-0.366065735457396,-0.33107162857593314,-0.3879291881958482,-0.40313984953179693,-22.03403515598433
28.0,-0.36577241948900935,0.014650191558847631,-0.37901874566116983,-0.34600171128546314,-0.4044187854794259,-0.42116966488884294,-22.65922085938253
29.0,-0.3835907962500645,0.014850400337735012,-0.3937744640140702,-0.3599981468615484,-0.4223258873472295,-0.4397091546228844,-23.270250237498978
