time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-0.00010632251163697896,6.290796048324224e-05,-1.6029152355374e-05,6.66367705796705e-05,3.7783914636029526e-05,-2.9788811667598155e-07,-0.9111607981031667
1.0,-0.005290402223886524,0.004583587153975065,-0.005037193606208282,-0.01105608701054932,-0.011089881940464657,-0.01111013399814742,-1.820273771138527
2.0,-0.009960591703797862,0.008648518591051736,-0.013061291029531508,-0.022830153130502615,-0.02678413220155066,-0.023549929040529573,-2.7267632728923332
3.0,-0.01679488351708296,0.01132633400182316,-0.024670608236089454,-0.03870142402636761,-0.04436458248719788,-0.03972401067613731,-3.6285472673031776
4.0,-0.023800366329643798,0.012759078623943267,-0.038763135398752674,-0.05482832906486204,-0.061255915567865485,-0.05401497001906141,-4.524520055364322
5.0,-0.03038054577203128,0.013543085104743915,-0.05333944681862743,-0.06650402757377369,-0.07718208096076118,-0.07095011680138646,-5.414459759601135
6.0,-0.03448647870491186,0.013992254405049514,-0.06757074954274599,-0.06919796748930233,-0.08988913535689126,-0.0831168413425601,-6.29942701173651
7.0,-0.04159617539657886,0.01402327168016064,-0.07851445947213719,-0.059239095441381805,-0.10615014968054777,-0.09570094782229444,-7.177733042487913
8.0,-0.050130155519956435,0.014446900985497382,-0.090880833666714,-0.04402037158390236,-0.1210920480451646,-0.1113674771179858,-8.0481652762103
9.0,-0.05911884470816707,0.014795435105868221,-0.10538230544982803,-0.026635097168572975,-0.13830831677063815,-0.12891950793897,-8.90990760515019
10.0,-0.0707677604463958,0.01495865721405423,-0.12136490607601094,-0.00835660370495225,-0.15438888532997155,-0.1472619701560312,-9.761132905079423
11.0,-0.08092427288392841,0.01500905433771898,-0.13831210615336162,0.0075303370907910915,-0.17000234728258926,-0.15423943360674672,-10.602358283629899
12.0,-0.0925654536500629,0.014989743688045508,-0.15575017737191557,0.022971718968418705,-0.18751073145058877,-0.15657785023332504,-11.432698734115132
13.0,-0.10678238167170574,0.01487936258924294,-0.17256391333453008,0.03311094897672746,-0.20544835443389903,-0.1686532709807702,-12.250780476808133
14.0,-0.12276575730916903,0.01143211904456091,-0.18881011428226913,0.04198433484504404,-0.22232504533934408,-0.18357779420679854,-13.054541821616503
15.0,-0.13986744125059888,0.01138352756901502,-0.20667850139539423,0.05661843274622558,-0.2403586719495424,-0.19814388158716206,-13.84377875511019
16.0,-0.1550021648866842,0.012566054966725877,-0.2244208244847988,0.07240108462028791,-0.25890198401899334,-0.2128529691835361,-14.620000679070094
17.0,-0.1704020026713241,0.013397770282338692,-0.24226360738344516,0.08502936132932096,-0.27473485861855007,-0.22997904527275176,-15.383223385837265
18.0,-0.18493982928975247,0.013815651354595272,-0.25912707335316026,0.10019075602643107,-0.28912798373702125,-0.24417234209044208,-16.13381472654796
19.0,-0.19812853647375647,0.013795829936514702,-0.27151612268574843,0.11343394653454109,-0.306111221410933,-0.25100145816947544,-16.873086933417635
20.0,-0.21250724623567496,0.014295638039396928,-0.28587136783585176,0.12687636060210858,-0.3188507099055037,-0.26487300417158494,-17.600497381103047
21.0,-0.22851743090492743,0.014585510287464834,-0.3017486586280169,0.14346445819044434,-0.3351130438732119,-0.281693431448485,-18.31443515460625
22.0,-0.24561360596184775,0.014717573649684476,-0.31863210503027356,0.16140951029282175,-0.352923004405784,-0.2849405498370026,-19.013845940892768
23.0,-0.26158141993140827,0.014764173022919262,-0.3361783587476038,0.17990969963743156,-0.371372710514696,-0.29622582585862617,-19.69909987054718
24.0,-0.27751493382061454,0.01476670937688498,-0.3541758748097619,0.19317701679873883,-0.3817772858135247,-0.31195915937677954,-20.370721958608343
25.0,-0.29435304926619954,0.014588582093977193,-0.3706970288055611,0.20799483037279368,-0.38525458216377795,-0.3211301924867852,-21.028613568278367
26.0,-0.3119565936683248,0.014584810332257177,-0.3872076975877344,0.2249236489125704,-0.397799291678807,-0.33594699713871123,-21.671915753264965
27.0,-0.32816977610391396,0.014648766214275974,-0.40445662136760985,0.24300277894000133,-0.41407551075133997,-0.3531573773204851,-22.30107008879329
