time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,0.00010013942653713516,6.038604281176535e-05,-9.756648042431972e-06,-4.724061506291247e-05,-1.3145852965884665e-06,2.2302145101380643e-05,-0.9111607981031667
1.0,-0.003551903145223919,0.004094930683138256,0.0007843604189934198,-0.011131579897888315,-0.011114913062348047,-0.011096317872315624,-1.8219260506287092
2.0,-0.012834514433845126,0.008574411713947324,-0.004268474987870605,-0.018761734463263832,-0.026799051318308585,-0.026784486294943656,-2.72814263542274
3.0,-0.021285677828268585,0.011379604200206079,-0.01397324759251699,-0.030829643876742363,-0.040808674675097106,-0.04149646658467164,-3.628881672790866
4.0,-0.03176305131306525,0.012909271508750932,-0.026064803584216395,-0.028478579052710628,-0.05162857626260281,-0.05861645971898138,-4.521915985079625
5.0,-0.041091327907970765,0.01386567075972734,-0.04042489505304351,-0.03629150385533548,-0.0670852394954607,-0.07677915227014454,-5.407254149320104
6.0,-0.05132031450055461,0.01366973990857292,-0.04779512447767688,-0.04527448530066908,-0.08456327643910817,-0.09321779892288701,-6.285081640498196
7.0,-0.06425085050143382,0.014401369016175163,-0.058559767896185805,-0.05659085798920261,-0.10287863357805142,-0.11106330351662161,-7.153745658942335
8.0,-0.07940114370368383,0.014828727733577242,-0.07204042600093878,-0.061940038353920895,-0.11802900471068108,-0.1279990519423098,-8.011230367380618
9.0,-0.0952222037135507,0.015002613276170942,-0.08735565999550413,-0.05902753183249062,-0.13531888817352447,-0.14296112202327407,-8.85628195247029
10.0,-0.10896306632598196,0.014876040179935704,-0.10154972556050462,-0.062026595066014344,-0.15022143914656694,-0.15108258278313627,-9.690268080440518
11.0,-0.12336476979519492,0.014930606118244394,-0.11670258956436116,-0.05465169231135207,-0.16741460503253786,-0.15351086870773423,-10.512430890388414
12.0,-0.13552445381991718,0.013563708848352354,-0.13291757817155284,-0.047950392907978784,-0.17677963173849712,-0.16562959896835655,-11.323467923224705
13.0,-0.14855703109325694,0.013359609529915864,-0.1484381934469988,-0.03416588760979602,-0.18879856470335865,-0.17910266947695802,-12.12316735365488
14.0,-0.16365084243137365,0.013941720426004358,-0.16480067193950898,-0.01735792553697808,-0.19958847877787458,-0.19571424435000748,-12.910415343407731
15.0,-0.18016388795475585,0.014359988359478307,-0.18196225312380485,-0.005744356681811848,-0.2081215208153392,-0.21121588113300355,-13.68433989808491
16.0,-0.1975911221791881,0.014586225225548578,-0.1997045881262885,0.00617189733419261,-0.22265561093401873,-0.22866918568209682,-14.44394120070963
