time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-0.0001172173262137699,7.587194957257891e-05,-3.762107085763954e-06,-6.595636998064306e-05,2.227344237846212e-05,1.0945207540621936e-07,-0.9111607981031667
1.0,-0.004613388166400546,0.004658177154632301,-0.005007508624141724,-0.009821565717430841,-0.009802544338235707,-0.011109885136924274,-1.8206668944334914
2.0,-0.013527776795734222,0.008477305901611274,-0.010240245661667667,-0.019756561350511095,-0.021747874550831905,-0.023088290475718486,-2.7257112685426312
3.0,-0.02471457489875949,0.011137211546541417,-0.018308764859185554,-0.029385853137315766,-0.03771854336851103,-0.03282137934467305,-3.623867788262202
4.0,-0.035943193132273364,0.01287077697449521,-0.029841883919222028,-0.04436218056506509,-0.055407742103113486,-0.04464219954580991,-4.514245770552698
5.0,-0.04730048933467262,0.013514199819000466,-0.03973056301123933,-0.06045032253657328,-0.07380728654141566,-0.05242291396319852,-5.396577286393988
6.0,-0.06064315776848612,0.014282146327064147,-0.0524670910331393,-0.07814853458773593,-0.09250315630742513,-0.06311580766744095,-6.269390988993963
7.0,-0.07601338601662753,0.014631159295742619,-0.06632196346627485,-0.09655544727036075,-0.1097891999262556,-0.07467485844682059,-7.131127295925227
8.0,-0.08613930364032624,0.014450060779920502,-0.07713145764405618,-0.10638273454891609,-0.12364494992085943,-0.09047213117635027,-7.984617131931294
9.0,-0.0959431365236712,0.014831724339863557,-0.09041406170914132,-0.11889353433851176,-0.1351842526283657,-0.108087495044163,-8.830317674407794
10.0,-0.1046779066075591,0.014690417856708798,-0.1014138011411749,-0.13452176021154919,-0.13699177199592308,-0.12645651331492067,-9.669219782184301
11.0,-0.11510099668061523,0.014983039331433185,-0.11487772302446486,-0.1497501998296657,-0.14889058301274916,-0.14513698496468327,-10.499915317367808
12.0,-0.12819796186698856,0.01513661174083017,-0.13015263024226242,-0.16613381449297374,-0.15974427702199642,-0.16271347482226356,-11.32041768917414
13.0,-0.139290366240634,0.014962868600087099,-0.14445277517397273,-0.17819851542902013,-0.17522956498431447,-0.1804072747152454,-12.131433767436029
14.0,-0.15151211102014092,0.014937613201628975,-0.15908559436437023,-0.18003951049025757,-0.1922340845265085,-0.19684469334931554,-12.93214924979334
