time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,-2.2186507488790238e-07,6.10013620460723e-05,-1.229253512767827e-05,-6.219637284176087e-06,4.513208316699324e-07,-4.274999021367344e-08,-0.9111607981031667
1.0,0.0025376334205848587,0.0045377919682280015,-0.005068524333952322,0.011090898238119328,-0.011107074619453745,-0.011110024473936097,-1.8237082256434944
2.0,0.010083038474714121,0.008695947101670038,-0.014261282038849079,0.02623085391082118,-0.026790417568321314,-0.026790163168186033,-2.7394536253354933
3.0,0.021832301412104002,0.01130176405317239,-0.02672638358335489,0.038289657985261474,-0.04078788712370583,-0.04435915463060165,-3.6599234977782324
4.0,0.03404523589383916,0.012756071408866634,-0.04053970105758857,0.054272543812981036,-0.05760303371452657,-0.06270899689148,-4.584618522030504
5.0,0.04781830267227266,0.013553127286633633,-0.054556726371161615,0.07196037852636473,-0.07063022440835635,-0.07908567408715843,-5.514122973242289
6.0,0.06258012041595362,0.013938507189632592,-0.06749089101448813,0.09036194526262083,-0.08507548744959942,-0.09617412342333753,-6.44896108840668
7.0,0.07585202433477575,0.014431471358144106,-0.0823061316347316,0.10009193706340778,-0.10210309888380888,-0.11431170436499087,-7.388366169057769
8.0,0.08958666000764891,0.014466604562452837,-0.0957592843415945,0.1116275578973728,-0.12022641753085794,-0.1319670769134043,-8.332378691726786
9.0,0.10497384046142236,0.014338202001559885,-0.1061673485367541,0.12333100247692003,-0.13880568890725964,-0.14439061570199177,-9.282225968057702
10.0,0.1216633399967487,0.014643013200335751,-0.11826181371560597,0.13919358887271427,-0.1575738450307288,-0.16051116144917768,-10.23837811038616
11.0,0.13911558552077644,0.01490287521707066,-0.1325824806918757,0.1460449262164279,-0.17642033981888744,-0.1782593644546762,-11.201318307831329
12.0,0.1532255627910971,0.014718251815510005,-0.14499524061589203,0.1559502543522053,-0.19529917657586557,-0.195495011066676,-12.169236279102675
13.0,0.1634642532060563,0.014904886972745184,-0.15944007778885844,0.17107074450783308,-0.21419039840593385,-0.20676281211921638,-13.13950258035368
14.0,0.17246315002631166,0.014650402020327828,-0.17123550323109235,0.188403246178254,-0.2305623972854002,-0.2191063634061029,-14.111488128370507
15.0,0.1794574886159638,0.014633974330653665,-0.1823369134688621,0.20666369799004514,-0.24837535122653576,-0.23178894990227644,-15.084138727032212
16.0,0.1889167600564192,0.014588826495133461,-0.19222357788628394,0.22528116222051783,-0.2668238590956927,-0.2459236000656006,-16.058679662044582
17.0,0.20176629285052777,0.014668834391500912,-0.20225671462392525,0.24406526312068394,-0.28553756877541653,-0.2596391615431258,-17.03699346536925
18.0,0.2168892264011144,0.014895779427398038,-0.2146279178675514,0.2629177720116244,-0.30436066805118706,-0.2726545871792684,-18.02008005993921
19.0,0.23344126312736285,0.015021093172814455,-0.22917013207990916,0.2817970938065504,-0.31380868921126404,-0.2738618052231497,-19.00899845050061
20.0,0.2508893424835341,0.014592639881991018,-0.2396499804245052,0.2969769234925191,-0.3234497907912752,-0.282397144378387,-20.0047040683859
21.0,0.2659098821811078,0.014259597646412738,-0.2454895844968308,0.31428233414957824,-0.330776664027166,-0.2969612591420318,-21.00654648320778
22.0,0.2779296787124085,0.014704163443198772,-0.254897459671336,0.33008089298207477,-0.3400373164599152,-0.3081449027225129,-22.0126064323951
23.0,0.28915007999833114,0.01497168730355491,-0.26745560364809434,0.34764645605734035,-0.3536422086218357,-0.32302004157149977,-23.021528923363064
24.0,0.3023387789559591,0.015020974198905288,-0.28190227601029894,0.3575298720172567,-0.3703332961714507,-0.3312423048283054,-24.03416293754489
25.0,0.31650824835594776,0.01477093065790555,-0.2948087241386994,0.3701547106643276,-0.38832069552444076,-0.3376377049379549,-25.050899701544605
26.0,0.3320013118887524,0.014359784144541043,-0.30304563957220393,0.3864207343450178,-0.4034320341303641,-0.34571583698277863,-26.072816410835138
27.0,0.3463837276984964,0.014634385794075578,-0.3136006110875589,0.4042405739992495,-0.41869784378909813,-0.35913105126347844,-27.099207202964553
28.0,0.36148071903700363,0.01485680255003588,-0.32689961193672046,0.42268400995317407,-0.4317885156653685,-0.37516829877144686,-28.13008914870527
29.0,0.37794030475240853,0.014509080244814744,-0.33673421415182897,0.4413990691385522,-0.44821529144172945,-0.38866444603677036,-29.166062884696984
30.0,0.3953031459391417,0.014749380112617606,-0.34939782647212897,0.46021690999353826,-0.45957158087594635,-0.40525822416915697,-30.207768053444966
31.0,0.4097708665944965,0.014421503474438024,-0.3587189810594099,0.47027576300797075,-0.4674871518221438,-0.4232030036572161,-31.254737252061233
32.0,0.42392093380767554,0.014223939953931881,-0.36474236723335246,0.4834963404338726,-0.48178168467683796,-0.4417081700907556,-32.306338296371024
33.0,0.43951283074469283,0.014541807609281707,-0.37322834276339373,0.49835597927991854,-0.49877868268434483,-0.45992888573559654,-33.36276729105373
34.0,0.4517859441401186,0.014407504586958466,-0.37983671220507265,0.5123490502863158,-0.5168933334654215,-0.47566155445029223,-34.42245312098284
35.0,0.46306232422268084,0.014246272821751388,-0.3835720381505369,0.5281703543677327,-0.5344019043702798,-0.48867923987891126,-35.48491857719412
36.0,0.47638088822101576,0.014477892933460376,-0.3888153402526809,0.5457691343494301,-0.5333506251883909,-0.5050688289435928,-36.55246656043135
37.0,0.4913593162732667,0.014607719346055384,-0.3953748163362635,0.5582548071920369,-0.5440897337139052,-0.520437756032282,-37.62511150958362
38.0,0.5046427224335316,0.014665873453790548,-0.40301635530295754,0.5744066353476354,-0.558558365198033,-0.5367343899219899,-38.701361333421495
39.0,0.5178781807465662,0.01396015725957379,-0.4061001742845766,0.5921719508166986,-0.5713008570462601,-0.5499725794223127,-39.781357215313406
