time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,0.00033264141426917387,5.7282213071700445e-05,-1.2594478755236791e-05,1.4144464854235581e-06,-1.8822601368560178e-06,-5.410882684095256e-08,-0.9111607981031667
1.0,-0.0010709722191618227,0.004567928386118332,-0.005035047350786396,-0.011081314479352023,-0.01111830139062592,-0.011109994466446303,-1.822629655270823
2.0,-0.00934404687698858,0.008499081714102429,-0.011191323990625005,-0.024938429253904427,-0.026800535211833308,-0.026790344638881844,-2.7299400204921014
3.0,-0.02166903162298885,0.010840492983410482,-0.01634985406860677,-0.04076491277969815,-0.04146772017510427,-0.04435946510281553,-3.6303268739832966
4.0,-0.03650863554777888,0.01272170471338817,-0.02594061407327995,-0.04001232452631239,-0.05856840769247857,-0.06270933187428526,-4.520822890901265
5.0,-0.052874289781264384,0.013673600300739988,-0.03684449201325473,-0.03860896886121489,-0.07518597267370715,-0.07886074296434617,-5.3998687915435255
6.0,-0.06984824285465593,0.014207044025486367,-0.04865058742700618,-0.03264483497275102,-0.08746116923851184,-0.0964983157219957,-6.266723795930303
7.0,-0.08502923837109526,0.014150617242592877,-0.05682735716356349,-0.024234205047794034,-0.1035251634672993,-0.11487390694733572,-7.122418908045963
8.0,-0.10054554231638993,0.01469859882481967,-0.06832448812492715,-0.016969816295171067,-0.11987523493608836,-0.13355693392979281,-7.966598297050137
9.0,-0.11688281224302442,0.014945248268033952,-0.08165731031107461,-0.01370279067064744,-0.13769775358552697,-0.15236724809043334,-8.798356902115405
10.0,-0.13403410224650256,0.01507684681894644,-0.09684598509962969,-0.0070615760913773215,-0.15391546231323347,-0.17123024609555068,-9.616759566932894
11.0,-0.15183653415898604,0.01510034386960375,-0.11327991019666075,0.002565274382998242,-0.1691517558075903,-0.19011494304742196,-10.421031117654671
12.0,-0.168355385522344,0.01358505781112433,-0.13037145403637806,0.017567126008528673,-0.1832732497719101,-0.2090085349197749,-11.210973237186025
13.0,-0.1850142972388296,0.012153680452545697,-0.14825477882528146,0.026457672776323327,-0.19878979608908331,-0.22790589662450536,-11.986509311276357
14.0,-0.19902049408361625,0.012244197103918997,-0.1623566188571527,0.01892346349341564,-0.21626650641981207,-0.2458768803176117,-12.750650363143365
15.0,-0.20867457229803765,0.012819044358031523,-0.17219137611176938,0.00471648900338657,-0.22610933236163788,-0.2617749099057563,-13.507424625933174
16.0,-0.21963081767754059,0.013805697173102571,-0.1847992723048301,-0.012167974747488763,-0.24120650202223645,-0.27855844055919465,-14.255921637207082
17.0,-0.23016106117579577,0.013941740325927859,-0.19425935008295805,-0.023507983103894226,-0.2585335696570422,-0.2965681893988614,-14.996127777344135
18.0,-0.24241753980592565,0.014146272104741897,-0.20223442054753404,-0.02991843632161243,-0.27678648987310706,-0.3150996916421669,-15.727273815613266
19.0,-0.25338475502476043,0.01472469946795488,-0.21364822184302648,-0.04311429015356465,-0.29541998506212647,-0.326988072305805,-16.44966873247599
20.0,-0.26573786099584906,0.014992594847671173,-0.22726331589713142,-0.059642178795634514,-0.3123980866263225,-0.34203540832995005,-17.162247253988305
21.0,-0.2804198163502579,0.014807834399083999,-0.23903940529514753,-0.07757179580356038,-0.3163176638983265,-0.3593255708391827,-17.86417670890665
22.0,-0.29670193912706777,0.014996641178291466,-0.2530530376506019,-0.09090330711847337,-0.32907998820901935,-0.3775595547456999,-18.553781999346974
23.0,-0.31366659547302883,0.015084460597167337,-0.26869507293195743,-0.10284329064584725,-0.3454471138522692,-0.3961841788627412,-19.230045435916256
24.0,-0.3312234106229104,0.015103133646908793,-0.28541342053523033,-0.11878230569424976,-0.3633019303797477,-0.4149703742994175,-19.89237181423055
25.0,-0.34846704163653014,0.015073324314124786,-0.3028469830078992,-0.13646008260328843,-0.3817705803666019,-0.4338233902583184,-20.540708375409388
26.0,-0.3659286640098501,0.014975363452875605,-0.32023684541653713,-0.15484853644024438,-0.4004929844799354,-0.44900265077740237,-21.174885447549265
27.0,-0.3833167786175429,0.01491285777969869,-0.33764508760085815,-0.1735305731606886,-0.4193204829964952,-0.466301271895294,-21.794881220293437
28.0,-0.40103607223428145,0.014817374444588182,-0.35482544442493114,-0.18505400871173341,-0.4362228325543366,-0.4845375559288989,-22.4004178967462
29.0,-0.41754021706120403,0.014386491742267986,-0.36717746436501025,-0.19422695773884707,-0.44639894259836294,-0.5018398078409685,-22.99307369420234
30.0,-0.43313565994488257,0.01451970978629511,-0.3795485032387395,-0.20340810590068312,-0.4575145197083903,-0.5148295376610781,-23.573692534617432
31.0,-0.4454317034894636,0.014724777879335637,-0.39301259241354264,-0.21370319238140145,-0.4695438373502412,-0.531196303609006,-24.143915305510202
32.0,-0.4541531776295785,0.014806628374387435,-0.4068734995844706,-0.22896489331182168,-0.4855437374177598,-0.546713324388904,-24.70570092701262
33.0,-0.4642867186141318,0.014523509441124181,-0.4179971240307409,-0.2382110653795781,-0.5032432080342423,-0.556725069824784,-25.258641529655158
34.0,-0.47510921272810874,0.014611692512525273,-0.4289948784645332,-0.2530355680872274,-0.517146507927156,-0.5692612798854396,-25.8026141702776
35.0,-0.4879861827969073,0.014701654218313787,-0.44040306763833154,-0.2702468227146709,-0.5318737371374929,-0.5800938699511554,-26.336406595117904
36.0,-0.5019616123132363,0.014711152383900876,-0.4516992586076212,-0.2884535286341794,-0.5490151530683384,-0.5878094895800636,-26.859208936980103
37.0,-0.5120624886100209,0.01465576398499794,-0.4627190084158129,-0.2952211601584633,-0.567190526469669,-0.6020226749754418,-27.372979140764127
38.0,-0.5220553383786571,0.014680894228284598,-0.47345954076495356,-0.30907166811671083,-0.585790396898501,-0.6189834264864458,-27.878159245584623
39.0,-0.5339377930595616,0.014895924464185745,-0.4868222445309182,-0.32179322067194566,-0.6032887427370895,-0.6269106546401787,-28.373175509601396
40.0,-0.5475965241323107,0.014988248666973233,-0.5020370830915808,-0.3380690629604671,-0.6215878466897637,-0.6412475892285342,-28.856483108935567
41.0,-0.5621698337999443,0.014605303981032958,-0.5184583860522074,-0.355882386625719,-0.6313814086277065,-0.6582605645235826,-29.32720697452933
42.0,-0.5779972892563995,0.014527950677812625,-0.5357924480414455,-0.37434033357070495,-0.6461570185136143,-0.6737850684551865,-29.784389959196073
43.0,-0.5949764067906028,0.011556630580483906,-0.5532286215206472,-0.39248999424068204,-0.6550862211055019,-0.6854783280123254,-30.226155950665735
44.0,-0.6126505246162149,0.005677333286798559,-0.566094753871155,-0.4111067895027208,-0.6698005290420297,-0.7012994403085783,-30.651501121527062
45.0,-0.630809248044422,0.0018310540178392086,-0.5811177969233252,-0.4180551882115756,-0.6719543195257104,-0.7189239622046496,-31.06081440868602
46.0,-0.6456862945896868,-0.002363954618478724,-0.5949154804448753,-0.431972759958944,-0.682082122545612,-0.737296451944948,-31.455843940950956
