time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,0.00019128166739914275,5.891313662230755e-05,-1.2444581577114117e-05,-1.752767865292763e-06,-8.914734980780835e-07,1.9497970863870472e-06,-0.9111607981031667
1.0,-0.0031227408817094808,0.0045748061369953194,-0.005033716496319604,-0.011086393467259639,-0.011116898838913411,-0.011108761528777673,-1.821501772741294
2.0,-0.012583754219494769,0.008760422831858707,-0.014210124404073512,-0.026765616568175315,-0.02026767418019424,-0.02493856293700393,-2.7269048316019955
3.0,-0.02332064880469183,0.011137288976373139,-0.024044559383205367,-0.0396242012522783,-0.023762465459920803,-0.0402206592640354,-3.6257491380643363
4.0,-0.036119453889305674,0.01281379323013336,-0.0368379581393732,-0.05448623047934178,-0.03630794516598907,-0.05518718034462739,-4.5159378465852145
5.0,-0.05098414717791554,0.013005211105035688,-0.04242448545472074,-0.07071685424495537,-0.05258182510244297,-0.07054634845238826,-5.396629258877782
6.0,-0.06728872970105389,0.013834313831856142,-0.04954556843144045,-0.08847318372605371,-0.07039930034008861,-0.079943811849611,-6.26698582981396
7.0,-0.08424382803687054,0.01360125989969446,-0.060380609183682515,-0.10688911047740955,-0.08885314477184789,-0.09215428382861124,-7.125574286800732
8.0,-0.10180187938759105,0.013795071863937842,-0.07237342187727562,-0.12409322332577938,-0.10349600237082472,-0.10824113252408057,-7.971933962004155
9.0,-0.11831175654109051,0.01438191364269122,-0.08647334937077476,-0.14180908813018203,-0.11404179203185351,-0.1203226617155021,-8.806496887551887
10.0,-0.13028173490050143,0.014724469302433445,-0.10217866506143605,-0.15839382268964947,-0.11758062706698814,-0.136307317516703,-9.631519340864015
11.0,-0.14068384303859205,0.01489945201638249,-0.11893966161824893,-0.17628480247029132,-0.12812466042531875,-0.15114374668619843,-10.447603316786234
12.0,-0.1507924743712701,0.01496209462226487,-0.13640714598169193,-0.19057943243963274,-0.13806423655157854,-0.16123745073698761,-11.254597641580304
13.0,-0.16304365630129694,0.014730013338747247,-0.15131277563343717,-0.20749578293539156,-0.14932802129849734,-0.17574375198893366,-12.051607577753266
14.0,-0.17498871026094226,0.014870424029339323,-0.16742804310940962,-0.21786597330220703,-0.159700277879916,-0.18359888488855847,-12.838449582080004
15.0,-0.1883300812417593,0.01498897420529247,-0.18442476792777435,-0.23314012712600293,-0.17498865121136453,-0.18343028108949969,-13.614154217722511
16.0,-0.20366699934058635,0.015031078898709345,-0.2020458517340799,-0.25054429062903805,-0.19239609407488523,-0.1945279888351513,-14.377267264419359
17.0,-0.2185086105316308,0.014955311935191897,-0.21929154535564324,-0.2684576962084215,-0.21067918898999782,-0.21018151597578155,-15.127912898723988
